Time,Sales Rank,New Price,List Price,Month
12/1/2024 3:20,1951,179.95,179.99,12
12/1/2024 6:21,1918,179.95,179.99,12
12/1/2024 9:22,1875,179.95,179.99,12
12/1/2024 12:22,1964,179.95,179.99,12
12/1/2024 15:23,1952,179.95,179.99,12
12/1/2024 18:24,1959,179.95,179.99,12
12/1/2024 21:24,1925,179.95,179.99,12
12/2/2024 0:25,1874,179.95,179.99,12
12/2/2024 3:26,2039,179.95,179.99,12
12/2/2024 7:27,1886,179.95,179.99,12
12/2/2024 10:28,1807,179.95,179.99,12
12/2/2024 13:28,1827,179.95,179.99,12
12/2/2024 16:29,1831,179.95,179.99,12
12/2/2024 19:29,1844,179.95,179.99,12
12/2/2024 22:30,1615,179.95,179.99,12
12/3/2024 1:31,1480,179.95,179.99,12
12/3/2024 4:32,1549,179.95,179.99,12
12/3/2024 7:33,1637,179.95,179.99,12
12/3/2024 10:34,1585,179.95,179.99,12
12/3/2024 13:35,1856,179.95,179.99,12
12/3/2024 16:35,1882,179.95,179.99,12
12/3/2024 19:36,1865,179.95,179.99,12
12/3/2024 22:36,1873,179.95,179.99,12
12/4/2024 1:37,1858,179.95,179.99,12
12/4/2024 4:38,1801,179.95,179.99,12
12/4/2024 7:39,1763,179.95,179.99,12
12/4/2024 10:40,1779,179.95,179.99,12
12/4/2024 13:41,1784,179.95,179.99,12
12/4/2024 16:41,1763,179.95,179.99,12
12/4/2024 19:42,1753,179.95,179.99,12
12/4/2024 22:42,1711,179.95,179.99,12
12/5/2024 1:43,1644,179.95,179.99,12
12/5/2024 4:43,1577,179.95,179.99,12
12/5/2024 7:44,1648,179.95,179.99,12
12/5/2024 10:45,1606,179.95,179.99,12
12/5/2024 13:45,1595,179.95,179.99,12
12/5/2024 19:46,1638,179.95,179.99,12
12/5/2024 23:04,1513,,179.99,12
12/6/2024 2:05,1504,179.95,179.99,12
12/6/2024 5:15,1676,179.95,179.99,12
12/6/2024 8:15,1633,179.95,179.99,12
12/6/2024 11:16,1643,179.95,179.99,12
12/6/2024 14:17,1633,179.95,179.99,12
12/6/2024 17:17,1612,179.95,179.99,12
12/6/2024 20:18,1596,179.95,179.99,12
12/6/2024 23:19,1536,179.95,179.99,12
12/7/2024 2:19,1466,179.95,179.99,12
12/7/2024 5:20,1443,179.95,179.99,12
12/7/2024 8:20,1437,179.95,179.99,12
12/7/2024 11:21,1492,179.95,179.99,12
12/7/2024 14:22,1477,179.95,179.99,12
12/7/2024 17:22,1505,179.95,179.99,12
12/7/2024 20:23,1533,179.95,179.99,12
12/7/2024 23:24,1558,179.95,179.99,12
12/8/2024 2:24,1514,179.95,179.99,12
12/8/2024 5:24,1428,179.95,179.99,12
12/8/2024 8:25,1404,179.99,179.99,12
12/8/2024 11:26,1442,179.99,179.99,12
12/8/2024 14:27,1489,179.95,179.99,12
12/8/2024 17:27,1524,179.95,179.99,12
12/8/2024 20:28,1526,179.95,179.99,12
